"","germplasmName","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","FHB.DON.content...ppm.","FHB.grain.incidence.....","net_merit","notes","Weight..lb."
"51","19-13414",59.9,89.4,132,38,0.9,10.4,533.6,"PrStj21[maturity:L]; PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTUrb22[Tall]; YTUrb22[Tall]",31.27
"52","19-13434",60.2,81.2,131,39.9,0.7,11.5,494.6,"PrStj21[obs:nice appearance]; PrUrb21[rust:R]; PrUrb21[rust:R]; YTNeo22[tall]",32.36
"53","19-13447",59.3,83.8,131,37.2,1,16.1,502.2,"PrUrb21[rust:S]; PrUrb21[rust:MrMs]; YTNeo22[septoria]; YTNeo22[sept]; YTUrb22[Mix]",31.1
"54","19-13451",59.1,83.6,129.7,37.7,0.8,12.7,513.4,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[ve]; YTNeo22[clean]; YTUrb22[Leaning]",30.91
"55","19-13706",59.2,80.6,131.7,38.3,0.6,12.3,488.8,"PrStj21[obs:nice appearance]; PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[lodging]; YTNeo22[leaning, tall]; YTUrb22[Tall]; YTUrb22[Lodging]",27.88
"56","19-13707",60.4,78.6,130.2,38.9,0.5,8.1,490.5,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[sept, tall]; YTNeo22[tall]; YTUrb22[Tall]",29.06
"57","19-13713",59.1,82.5,129.7,37.9,0.5,7.6,515.8,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[tall, leaning]; YTUrb22[Leaning]; YTUrb22[Tall]",31.72
"58","19-13748",60.6,78,130.2,38.5,0.7,9.1,482.9,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[ve septoria]; YTNeo22[leaning]; YTUrb22[Leaning a bit]",29.13
"59","19-13752",60,79.7,130.1,39.1,1.2,16.4,481.3,"PrUrb21[rust:S]; PrUrb21[rust:MrMs]; YTNeo22[tall]; YTNeo22[tall]",30.12
"60","19-13778",60.5,78.3,131.6,38.8,0.8,10,475,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[tall]; YTNeo22[lodging]; YTUrb22[Tall, leaning]; YTUrb22[Thin]",29.4
"61","19-13936",59.6,82.6,128.9,37.2,0.5,7,520.3,"PrStj21[maturity:VE]; PrUrb21[rust:S]; PrUrb21[rust:MrMs]; YTNeo22[ve, septoria]; YTNeo22[septoria]",33.55
"62","19-13942",59.1,85.3,128.2,39,0.7,8.5,535.6,"PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[tall]; YTNeo22[sept]; YTUrb22[See down row]; YTUrb22[Tall]",33.62
"63","19-13961",58.9,84.8,129.2,37.1,0.6,10.5,528.3,"PrStj21[obs:nice appearance]; PrUrb21[rust:S]; PrUrb21[rust:MrMs]; YTNeo22[sept]; YTNeo22[leaning, rust]; YTUrb22[Disease, leaning]",30.34
"64","19-13978",59.5,85,128.2,37.9,0.6,8.5,535.7,"PrStj21[maturity:E]; PrUrb21[rust:S]; PrUrb21[rust:MrMs]; YTNeo22[sept]; YTUrb22[Ve, tall]; YTUrb22[Lodg]",34.08
"65","19-14605",58.2,84.5,130.6,38.7,1,17.2,507,"PrUrb21[rust:R]; PrUrb21[rust:MrMs]; YTNeo22[sept]; YTNeo22[tall]; YTUrb22[Leaning]; YTUrb22[Too tall]",33.58
"66","19-14617",58.6,85.8,127.7,37.2,0.5,9.4,545.1,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[sept]; YTUrb22[Leaning]; YTUrb22[Looks weak]",31.57
"67","19-14845",58.3,84.5,128.6,38.2,0.6,8.8,530.6,"PrStj21[obs:mixed appearance]; PrUrb21[rust:MrMs]; PrUrb21[exclude_plot:true, rust:MrMs]; YTUrb22[Tall]",33.23
"68","19-14856",58.5,90.3,127.7,37.4,0.8,11,563.5,"PrStj21[maturity:E]; PrUrb21[rust:R]; PrUrb21[rust:MrMs]; YTNeo22[ve, tip awned]; YTNeo22[ve, septoria]; YTUrb22[A bit tall, ve]; YTUrb22[Leaning]",35.8
"69","19-14933",58.5,85.5,128,38.4,0.6,9.8,538.5,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[leaning]; YTUrb22[Leaning]; YTUrb22[Leaning]",32.9
"70","19-15017",58.7,82.9,128,38,0.7,15.1,518.3,"PrStj21[maturity:VE]; PrUrb21[exclude_plot:true, rust:R]; PrUrb21[rust:MrMs]; YTNeo22[tall, clean]; YTNeo22[tall, clean]; YTUrb22[Tall]",31.01
"71","19-15327",58.3,86.5,131.1,39,0.6,11.9,526.5,"PrStj21[maturity:E]; PrUrb21[rust:R]; PrUrb21[rust:R]; YTNeo22[septoria]; YTNeo22[tall]; YTUrb22[Lodg]",33.15
"72","19-15330",59,85.4,130.8,39,0.7,8.1,522.6,"PrUrb21[rust:R]; PrUrb21[rust:MrMs]; YTNeo22[tall]; YTNeo22[septoria]; YTUrb22[Tall]; YTUrb22[Leaning]",32.13
"73","19-16129",59,87.4,132.4,37.9,0.6,7.7,527.8,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[lodging]; YTNeo22[leaning]; YTUrb22[Lodg]",33.01
"74","19-16136",57.9,90.7,131.5,37.8,0.8,12.7,542.8,"PrStj21[obs:npt]; PrUrb21[exclude_plot:true, rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[ve]; YTUrb22[Lodg]",33.97
"75","19-16142",59.5,82.8,131.2,37.6,0.8,15.2,498.1,"PrStj21[maturity:E]; PrUrb21[rust:R]; PrUrb21[exclude_plot:true, rust:MrMs]; YTNeo22[leaning]; YTNeo22[tall, leaning]; YTUrb22[Too tall, looks weak]",33.65
"76","19-16152",58.9,86.5,132,38,0.5,12.9,522.3,"PrUrb21[rust:MrMs]; PrUrb21[rust:MrMs]; YTNeo22[ve]; YTNeo22[leaning]; YTUrb22[Looks good]",34.81
