p1,p2,crossN,reciprocalNm,netMerit,cross,reciprocal,Grain.test.weight...lbs.bu,Grain.yield...bu.ac,Heading.time...Julian.date..JD..,Plant.height.inches,FHB.DON.content...ppm.,FHB.grain.incidence.....,select,rank,relValue
22,30,22 x 30,30 x 22,503.6,19-6637 x US17-IL-111-005,US17-IL-111-005 x 19-6637,58.4,82.8,131.6,36.2,1,0,0,530,98
19,30,19 x 30,30 x 19,501.4,2020-14116 x US17-IL-111-005,US17-IL-111-005 x 2020-14116,57.7,82.8,131.6,36.8,0.9,0,0,557,98
13,37,13 x 37,37 x 13,496.5,2020-2334 x 16-23972,16-23972 x 2020-2334,57.5,82.8,131.6,36.4,0.9,0,0,607,97
8,23,8 x 23,23 x 8,493.5,IL16LCSDH-06-T-2661-17 x 19-21848,19-21848 x IL16LCSDH-06-T-2661-17,57.9,82.8,132.5,36.1,1.2,0,0,624,96
7,29,7 x 29,29 x 7,493.2,IL16LCSDH-06-T-2661-228 x US17-IL-111-006,US17-IL-111-006 x IL16LCSDH-06-T-2661-228,57.5,82.8,131.6,35.8,1.2,0,0,626,96
20,28,20 x 28,28 x 20,522.1,2020-13902 x 19-14617,19-14617 x 2020-13902,58,82.7,130,36.4,0.4,0,0,210,102
19,28,19 x 28,28 x 19,514.1,2020-14116 x 19-14617,19-14617 x 2020-14116,58,82.7,130.7,36.6,0.7,0,0,342,100
12,29,12 x 29,29 x 12,508.8,2020-5376 x US17-IL-111-006,US17-IL-111-006 x 2020-5376,58.2,82.7,130.3,35.9,1.1,0,0,444,99
30,31,30 x 31,31 x 30,504.3,US17-IL-111-005 x US16-IL-063-063,US16-IL-063-063 x US17-IL-111-005,57.8,82.7,130.7,35.4,1,0,0,518,98
14,30,14 x 30,30 x 14,503.7,2020-2010 x US17-IL-111-005,US17-IL-111-005 x 2020-2010,57.7,82.7,131,36,0.8,0,0,527,98
8,25,8 x 25,25 x 8,487.2,IL16LCSDH-06-T-2661-17 x 19-18153,19-18153 x IL16LCSDH-06-T-2661-17,58.2,82.7,133.4,36.4,1.4,0,0,651,95
14,28,14 x 28,28 x 14,516.8,2020-2010 x 19-14617,19-14617 x 2020-2010,58,82.6,130,35.8,0.6,0,0,299,101
28,31,28 x 31,31 x 28,516,19-14617 x US16-IL-063-063,US16-IL-063-063 x 19-14617,58.1,82.6,129.8,35.1,0.8,0,0,312,101
22,37,22 x 37,37 x 22,500.1,19-6637 x 16-23972,16-23972 x 19-6637,58.5,82.6,132.3,35.7,0.9,0,0,574,98
8,33,8 x 33,33 x 8,491.1,IL16LCSDH-06-T-2661-17 x 18-14535,18-14535 x IL16LCSDH-06-T-2661-17,57.9,82.6,132.7,36,1.3,0,0,635,96
29,35,29 x 35,35 x 29,490.8,US17-IL-111-006 x 17-23874,17-23874 x US17-IL-111-006,58,82.6,132.2,36.6,1.5,0,0,637,96
10,29,10 x 29,29 x 10,507.1,2020-6205 x US17-IL-111-006,US17-IL-111-006 x 2020-6205,58.4,82.5,130.8,36.7,1,0,0,471,99
20,37,20 x 37,37 x 20,506.8,2020-13902 x 16-23972,16-23972 x 2020-13902,57.8,82.5,131.6,36.1,0.5,0,0,477,99
26,29,26 x 29,29 x 26,505.8,19-16136 x US17-IL-111-006,US17-IL-111-006 x 19-16136,58.1,82.5,131.4,36.1,0.9,0,0,490,99
14,37,14 x 37,37 x 14,501,2020-2010 x 16-23972,16-23972 x 2020-2010,57.7,82.5,131.7,35.5,0.7,0,0,561,98
19,37,19 x 37,37 x 19,498.7,2020-14116 x 16-23972,16-23972 x 2020-14116,57.8,82.5,132.4,36.3,0.7,0,0,587,97
24,29,24 x 29,29 x 24,505,19-20348 x US17-IL-111-006,US17-IL-111-006 x 19-20348,58.3,82.4,130.8,35.9,1.1,0,0,506,99
31,37,31 x 37,37 x 31,501.7,US16-IL-063-063 x 16-23972,16-23972 x US16-IL-063-063,57.8,82.4,131.4,34.8,0.9,0,0,552,98
23,28,23 x 28,28 x 23,517,19-21848 x 19-14617,19-14617 x 19-21848,58.1,82.3,129.8,35.8,0.6,0,0,298,101
23,30,23 x 30,30 x 23,506.2,19-21848 x US17-IL-111-005,US17-IL-111-005 x 19-21848,57.8,82.3,130.8,36,0.8,0,0,484,99
9,29,9 x 29,29 x 9,505.7,IL16LCSDH-01-T-863-58 x US17-IL-111-006,US17-IL-111-006 x IL16LCSDH-01-T-863-58,59.1,82.3,131.5,36,0.8,0,0,492,99
11,29,11 x 29,29 x 11,504.2,2020-6148 x US17-IL-111-006,US17-IL-111-006 x 2020-6148,58.5,82.2,131.1,37.4,1,0,0,520,98
25,30,25 x 30,30 x 25,500.4,19-18153 x US17-IL-111-005,US17-IL-111-005 x 19-18153,58.2,82.2,131.7,36.3,1,0,0,570,98
27,29,27 x 29,29 x 27,515.3,19-14856 x US17-IL-111-006,US17-IL-111-006 x 19-14856,58.4,82.1,129.5,36.1,0.8,0,1,157,101
28,33,28 x 33,33 x 28,514.1,19-14617 x 18-14535,18-14535 x 19-14617,58.2,82.1,130.1,35.7,0.7,0,0,344,100
25,28,25 x 28,28 x 25,508.8,19-18153 x 19-14617,19-14617 x 19-18153,58.4,82.1,130.8,36,0.8,0,0,445,99
30,33,30 x 33,33 x 30,503.7,US17-IL-111-005 x 18-14535,18-14535 x US17-IL-111-005,57.9,82.1,131,35.9,0.9,0,0,525,98
23,37,23 x 37,37 x 23,503.5,19-21848 x 16-23972,16-23972 x 19-21848,57.9,82.1,131.5,35.5,0.7,0,0,532,98
29,34,29 x 34,34 x 29,497.1,US17-IL-111-006 x 17-23904,17-23904 x US17-IL-111-006,58.4,82.1,130.8,36.1,1.4,0,0,600,97
25,37,25 x 37,37 x 25,496.9,19-18153 x 16-23972,16-23972 x 19-18153,58.2,82,132.5,35.7,0.8,0,0,602,97
8,21,8 x 21,21 x 8,480.5,IL16LCSDH-06-T-2661-17 x 19-6704,19-6704 x IL16LCSDH-06-T-2661-17,57.3,82,132.4,36.9,1.1,0,0,661,94
13,29,13 x 29,29 x 13,503.1,2020-2334 x US17-IL-111-006,US17-IL-111-006 x 2020-2334,58,81.9,130.4,36.6,1.1,0,0,537,98
33,37,33 x 37,37 x 33,501.1,18-14535 x 16-23972,16-23972 x 18-14535,57.9,81.9,131.7,35.4,0.7,0,0,560,98
22,29,22 x 29,29 x 22,499.5,19-6637 x US17-IL-111-006,US17-IL-111-006 x 19-6637,58.9,81.8,131.1,35.9,1.1,0,0,580,98
20,29,20 x 29,29 x 20,509.5,2020-13902 x US17-IL-111-006,US17-IL-111-006 x 2020-13902,58.2,81.7,130.4,36.3,0.7,0,0,428,99
19,29,19 x 29,29 x 19,501.6,2020-14116 x US17-IL-111-006,US17-IL-111-006 x 2020-14116,58.2,81.7,131.2,36.4,0.9,0,0,553,98
14,29,14 x 29,29 x 14,505,2020-2010 x US17-IL-111-006,US17-IL-111-006 x 2020-2010,58.2,81.6,130.5,35.6,0.9,0,0,508,99
29,31,29 x 31,31 x 29,503.5,US17-IL-111-006 x US16-IL-063-063,US16-IL-063-063 x US17-IL-111-006,58.3,81.6,130.2,35,1.1,0,0,531,98
21,28,21 x 28,28 x 21,506.2,19-6704 x 19-14617,19-14617 x 19-6704,57.5,81.5,129.8,36.5,0.5,0,0,482,99
21,30,21 x 30,30 x 21,493.2,19-6704 x US17-IL-111-005,US17-IL-111-005 x 19-6704,57.2,81.5,130.7,36.8,0.7,0,0,625,96
8,30,8 x 30,30 x 8,478.8,IL16LCSDH-06-T-2661-17 x US17-IL-111-005,US17-IL-111-005 x IL16LCSDH-06-T-2661-17,57.6,81.4,132.5,36.5,1.3,0,0,662,93
8,28,8 x 28,28 x 8,491.7,IL16LCSDH-06-T-2661-17 x 19-14617,19-14617 x IL16LCSDH-06-T-2661-17,57.8,81.3,131.6,36.2,1.1,0,0,631,96
21,37,21 x 37,37 x 21,490.5,19-6704 x 16-23972,16-23972 x 19-6704,57.3,81.3,131.5,36.2,0.6,0,0,639,96
23,29,23 x 29,29 x 23,504.5,19-21848 x US17-IL-111-006,US17-IL-111-006 x 19-21848,58.3,81.2,130.3,35.6,0.9,0,0,515,98
29,33,29 x 33,33 x 29,501.6,US17-IL-111-006 x 18-14535,18-14535 x US17-IL-111-006,58.4,81.1,130.5,35.5,0.9,0,0,554,98
25,29,25 x 29,29 x 25,496.3,19-18153 x US17-IL-111-006,US17-IL-111-006 x 19-18153,58.6,81.1,131.2,35.9,1,0,0,609,97
8,37,8 x 37,37 x 8,476.1,IL16LCSDH-06-T-2661-17 x 16-23972,16-23972 x IL16LCSDH-06-T-2661-17,57.6,81.1,133.3,35.9,1.2,0,0,665,93
28,30,28 x 30,30 x 28,504.3,19-14617 x US17-IL-111-005,US17-IL-111-005 x 19-14617,57.8,80.8,129.9,36.1,0.7,0,0,519,98
30,37,30 x 37,37 x 30,488.7,US17-IL-111-005 x 16-23972,16-23972 x US17-IL-111-005,57.6,80.7,131.6,35.8,0.8,0,0,645,95
28,37,28 x 37,37 x 28,501.6,19-14617 x 16-23972,16-23972 x 19-14617,57.9,80.6,130.7,35.6,0.5,0,0,555,98
21,29,21 x 29,29 x 21,497.1,19-6704 x US17-IL-111-006,US17-IL-111-006 x 19-6704,57.7,80.5,130.3,36.4,0.8,0,0,599,97
8,29,8 x 29,29 x 8,482,IL16LCSDH-06-T-2661-17 x US17-IL-111-006,US17-IL-111-006 x IL16LCSDH-06-T-2661-17,58,80.3,132.1,36.1,1.3,0,0,660,94
28,29,28 x 29,29 x 28,503.3,19-14617 x US17-IL-111-006,US17-IL-111-006 x 19-14617,58.3,79.8,129.4,35.7,0.7,0,0,534,98
29,30,29 x 30,30 x 29,495,US17-IL-111-006 x US17-IL-111-005,US17-IL-111-005 x US17-IL-111-006,58,79.8,130.4,36,0.9,0,0,619,97
29,37,29 x 37,37 x 29,491.5,US17-IL-111-006 x 16-23972,16-23972 x US17-IL-111-006,58.1,79.6,131.1,35.4,0.8,0,0,633,96
